Player,Normalized Head Movement,Stance (Normalized)
blurred_Copy of HR - 2023 0816 161610,0.10326396905520757,good
blurred_Copy of DT - 2024 0815 140650,0.05528478406673614,good
blurred_Copy of CL - 2025 0205 112002,0.3318570691848168,bad
blurred_Copy of CG - 2025 0113 112022,0.0900010857521195,good
blurred_Copy of DJ - 2024 1101 162837,0.1730233229762958,bad
blurred_Copy of AB - 2024 0531 120531,0.22181777052273371,bad
blurred_Copy of CR - 2024 0924 112055,0.2444595771766104,bad
blurred_Copy of ADR- 2024 1018 145822,0.056935904497166505,good
blurred_Copy of AB - 2024 1101 173843 ,0.2263410804986491,bad
blurred_Copy of EE - 2024 0429 123453,0.024872401354652796,good
blurred_Copy of DJ- 2024 0927 163118,0.32252172361851633,bad
blurred_Copy of BS - 2024 1106 171315,0.10612177608283568,good
blurred_Copy of CB - 2025 0110 153658,0.04422186563688383,good
blurred_Copy of AF - 2022 1004 124208,0.025979979405827185,good
blurred_Copy of CR - 2025 0108 111914,0.0483534900670096,good
blurred_Copy of IA - 2022 0914 123629,0.22082048735313867,bad
blurred_Copy of AW - 2024 0923 125215,0.013344631860255115,good
blurred_Copy of DG - 2024 1112 121829,0.019804482361599162,good
blurred_Copy of AZ - 2024 0719 164145,0.025890821169283228,good
blurred_Copy of CM - 2025 0110 111408,0.018741649861592904,good
